2459234.500000000, A.D. 2021-Jan-20 00:00:00.0000,  5.281891076574207E-01,  8.187811702830432E-01,  3.097250977403860E+01,  1.034682933593296E+02,  3.357514605580033E+02,  2.459286407086264E+06,  4.311260334791319E-01,  3.376215037894470E+02,  2.892920562258060E+02,  1.735401160871315E+00,  2.652021151459587E+00,  8.350226431348766E+02,
2459241.500000000, A.D. 2021-Jan-27 00:00:00.0000,  5.281879293953436E-01,  8.187797325367334E-01,  3.097250980085083E+01,  1.034682959527049E+02,  3.357517628288830E+02,  2.459286407261839E+06,  4.311287840349972E-01,  3.406391868089559E+02,  2.964462851342379E+02,  1.735393779746705E+00,  2.652007826956676E+00,  8.350173157790753E+02,
2459248.500000000, A.D. 2021-Feb-03 00:00:00.0000,  5.281870641554975E-01,  8.187786260939305E-01,  3.097250985111966E+01,  1.034682957720160E+02,  3.357520131317512E+02,  2.459286407404694E+06,  4.311308438845080E-01,  3.436569486246681E+02,  3.043550690477574E+02,  1.735388252185988E+00,  2.651997878278045E+00,  8.350133262477444E+02,
2459255.500000000, A.D. 2021-Feb-10 00:00:00.0000,  5.281866933247841E-01,  8.187778741086494E-01,  3.097251089567075E+01,  1.034682882226523E+02,  3.357522015954019E+02,  2.459286407506165E+06,  4.311319461105675E-01,  3.466747867175553E+02,  3.130697467087837E+02,  1.735385294404753E+00,  2.651992714700856E+00,  8.350111914640511E+02,
2459262.500000000, A.D. 2021-Feb-17 00:00:00.0000,  5.281870101238164E-01,  8.187774116330339E-01,  3.097251342503824E+01,  1.034682769948466E+02,  3.357523290408521E+02,  2.459286407567466E+06,  4.311318771638084E-01,  3.496926855601126E+02,  3.226038332516457E+02,  1.735385479420359E+00,  2.651993547207685E+00,  8.350113249993300E+02,
2459269.500000000, A.D. 2021-Feb-24 00:00:00.0000,  5.281880491288862E-01,  8.187771525178020E-01,  3.097251688647575E+01,  1.034682667704428E+02,  3.357524089617448E+02,  2.459286407600276E+06,  4.311306576934185E-01,  3.527106151728382E+02,  3.329093215953648E+02,  1.735388751823859E+00,  2.652000351129916E+00,  8.350136868624170E+02,
2459276.500000000, A.D. 2021-Mar-03 00:00:00.0000,  5.281897424723619E-01,  8.187770271384947E-01,  3.097252037362031E+01,  1.034682597028079E+02,  3.357524584942039E+02,  2.459286407618111E+06,  4.311284357173845E-01,  3.557285441022189E+02,  3.438554589428409E+02,  1.735394714453684E+00,  2.652012401768874E+00,  8.350179904068982E+02,
2459283.500000000, A.D. 2021-Mar-10 00:00:00.0000,  5.281919618350817E-01,  8.187769835735529E-01,  3.097252296582845E+01,  1.034682561302881E+02,  3.357524940353288E+02,  2.459286407633059E+06,  4.311254281321342E-01,  3.587464454527715E+02,  3.552221101529504E+02,  1.735402785332269E+00,  2.652028587090986E+00,  8.350238155974989E+02,
2459290.500000000, A.D. 2021-Mar-17 00:00:00.0000,  5.281945339225952E-01,  8.187769852041114E-01,  3.097252385766502E+01,  1.034682553030921E+02,  3.357525285369931E+02,  2.459286407654144E+06,  4.311219013930633E-01,  1.764299926658035E+00,  6.719371758587656E+00,  1.735412249483735E+00,  2.652047513763359E+00,  8.350306464059224E+02,
2459297.500000000, A.D. 2021-Mar-24 00:00:00.0000,  5.281972637402419E-01,  8.187770057140671E-01,  3.097252246800026E+01,  1.034682557881486E+02,  3.357525692864407E+02,  2.459286407685956E+06,  4.311181435594116E-01,  4.782097838437245E+00,  1.803379128931328E+01,  1.735422333929146E+00,  2.652067662144226E+00,  8.350379249357411E+02,
2459304.500000000, A.D. 2021-Mar-31 00:00:00.0000,  5.281999676340965E-01,  8.187770211356490E-01,  3.097251848721784E+01,  1.034682558061759E+02,  3.357526172621364E+02,  2.459286407728409E+06,  4.311144252880593E-01,  7.799839268945183E+00,  2.888463766795208E+01,  1.735432312350178E+00,  2.652087603564707E+00,  8.350451269624241E+02,
2459311.500000000, A.D. 2021-Apr-07 00:00:00.0000,  5.282025016547494E-01,  8.187770041053851E-01,  3.097251178176423E+01,  1.034682534691715E+02,  3.357526687952666E+02,  2.459286407778093E+06,  4.311109654935230E-01,  1.081753201276960E+01,  3.906634893951135E+01,  1.735441597246925E+00,  2.652106190388465E+00,  8.350518284495099E+02,
2459318.500000000, A.D. 2021-Apr-14 00:00:00.0000,  5.282047665481202E-01,  8.187769272196931E-01,  3.097250220921500E+01,  1.034682467460342E+02,  3.357527190516187E+02,  2.459286407830510E+06,  4.311079218581060E-01,  1.383518849652826E+01,  4.846323127740596E+01,  1.735449765418631E+00,  2.652122603617569E+00,  8.350577239415463E+02,
2459325.500000000, A.D. 2021-Apr-21 00:00:00.0000,  5.282066691867836E-01,  8.187767749690896E-01,  3.097248990582473E+01,  1.034682336237914E+02,  3.357527639374703E+02,  2.459286407880682E+06,  4.311054342715209E-01,  1.685282507543082E+01,  5.703939307836447E+01,  1.735456441399432E+00,  2.652136107829775E+00,  8.350625424342552E+02,
2459332.500000000, A.D. 2021-Apr-28 00:00:00.0000,  5.282080728056198E-01,  8.187765263266840E-01,  3.097247694235791E+01,  1.034682148176593E+02,  3.357527913354450E+02,  2.459286407918262E+06,  4.311037067921956E-01,  1.987046729115065E+01,  6.481635878684220E+01,  1.735461077504501E+00,  2.652145628682318E+00,  8.350658886204621E+02,
