2459234.500000000, A.D. 2021-Jan-20 00:00:00.0000,  3.282975743882476E-01,  9.042782584278835E-01,  2.979306788637988E+01,  7.897993792562572E+01,  9.266407181691024E+01,  2.459066236207869E+06,  6.309810478483679E-01,  1.061712638735646E+02,  1.370577665385051E+02,  1.346248314652598E+00,  1.788218370877312E+00,  5.705401156304018E+02,
2459241.500000000, A.D. 2021-Jan-27 00:00:00.0000,  3.283002018927444E-01,  9.042778033345215E-01,  2.979302145728051E+01,  7.897982154487343E+01,  9.266498569415656E+01,  2.459066237700105E+06,  6.309778218558872E-01,  1.105866242411146E+02,  1.400360684035468E+02,  1.346252903280057E+00,  1.788228003225593E+00,  5.705430326237719E+02,
2459248.500000000, A.D. 2021-Feb-03 00:00:00.0000,  3.283032813474259E-01,  9.042760766626508E-01,  2.979297276077159E+01,  7.897968570505988E+01,  9.266586442078224E+01,  2.459066239342190E+06,  6.309752899393014E-01,  1.150019714062636E+02,  1.429296162499990E+02,  1.346256504686567E+00,  1.788236932710483E+00,  5.705453220436434E+02,
2459255.500000000, A.D. 2021-Feb-10 00:00:00.0000,  3.283066902539374E-01,  9.042732657686519E-01,  2.979292053038147E+01,  7.897952358111354E+01,  9.266671548273814E+01,  2.459066241108350E+06,  6.309734286002916E-01,  1.194173317577371E+02,  1.457468740430343E+02,  1.346259152276680E+00,  1.788245038784709E+00,  5.705470051228614E+02,
2459262.500000000, A.D. 2021-Feb-17 00:00:00.0000,  3.283104655286096E-01,  9.042692258103787E-01,  2.979286685293064E+01,  7.897933786617122E+01,  9.266751765005611E+01,  2.459066242984757E+06,  6.309723374185267E-01,  1.238327476426655E+02,  1.484956113871779E+02,  1.346260704392283E+00,  1.788252182974187E+00,  5.705479918071439E+02,
2459269.500000000, A.D. 2021-Feb-24 00:00:00.0000,  3.283147114762999E-01,  9.042637606591115E-01,  2.979281411211667E+01,  7.897913374815688E+01,  9.266826192308100E+01,  2.459066244990717E+06,  6.309720747050656E-01,  1.282482349014184E+02,  1.511829567656382E+02,  1.346261078081071E+00,  1.788258395503030E+00,  5.705482293622493E+02,
2459276.500000000, A.D. 2021-Mar-03 00:00:00.0000,  3.283195020822076E-01,  9.042567684535352E-01,  2.979276391933491E+01,  7.897891532289833E+01,  9.266895241575436E+01,  2.459066247153861E+06,  6.309726428367048E-01,  1.326637939920702E+02,  1.538154785579620E+02,  1.346260269959793E+00,  1.788263771466050E+00,  5.705477156371226E+02,
2459283.500000000, A.D. 2021-Mar-10 00:00:00.0000,  3.283248752061085E-01,  9.042482161949582E-01,  2.979271739493705E+01,  7.897868604397786E+01,  9.266959654902442E+01,  2.459066249496748E+06,  6.309740230270934E-01,  1.370794240415265E+02,  1.563992647409647E+02,  1.346258306755715E+00,  1.788268397316471E+00,  5.705464676230291E+02,
2459290.500000000, A.D. 2021-Mar-17 00:00:00.0000,  3.283308401279608E-01,  9.042381192343625E-01,  2.979267531523945E+01,  7.897844892102803E+01,  9.267020180193164E+01,  2.459066252033865E+06,  6.309761861637481E-01,  1.414951264268839E+02,  1.589399887390621E+02,  1.346255229891202E+00,  1.788272340548041E+00,  5.705445116538430E+02,
2459297.500000000, A.D. 2021-Mar-24 00:00:00.0000,  3.283373831709857E-01,  9.042265338135601E-01,  2.979263818202574E+01,  7.897820650732369E+01,  9.267077554720942E+01,  2.459066254772207E+06,  6.309790926899806E-01,  1.459109040215924E+02,  1.614429658597591E+02,  1.346251095650526E+00,  1.788275657487492E+00,  5.705418835119455E+02,
2459304.500000000, A.D. 2021-Mar-31 00:00:00.0000,  3.283444754401837E-01,  9.042135448984570E-01,  2.979260631257570E+01,  7.897796112801691E+01,  9.267132498323384E+01,  2.459066257713414E+06,  6.309826944330026E-01,  1.503267599178783E+02,  1.639132038091479E+02,  1.346245972578060E+00,  1.788278400257663E+00,  5.705386267740574E+02,
2459311.500000000, A.D. 2021-Apr-07 00:00:00.0000,  3.283520856740554E-01,  9.041992421090921E-01,  2.979257992231845E+01,  7.897771535691867E+01,  9.267185677769812E+01,  2.459066260857877E+06,  6.309869416861906E-01,  1.547426962697779E+02,  1.663554484719633E+02,  1.346239931402947E+00,  1.788280620696801E+00,  5.705347864061490E+02,
2459318.500000000, A.D. 2021-Apr-14 00:00:00.0000,  3.283601986216763E-01,  9.041836846954252E-01,  2.979255913887343E+01,  7.897747233956535E+01,  9.267237792278553E+01,  2.459066264213457E+06,  6.309917939728432E-01,  1.591587114549636E+02,  1.687742245345977E+02,  1.346233029727959E+00,  1.788282374760493E+00,  5.705303990300288E+02,
2459325.500000000, A.D. 2021-Apr-21 00:00:00.0000,  3.283688137657101E-01,  9.041669077435839E-01,  2.979254385629829E+01,  7.897723409758767E+01,  9.267290225709894E+01,  2.459066267807874E+06,  6.309972153494012E-01,  1.635747913602156E+02,  1.711738687910009E+02,  1.346225318709630E+00,  1.788283729675676E+00,  5.705254971698372E+02,
2459332.500000000, A.D. 2021-Apr-28 00:00:00.0000,  3.283778337663347E-01,  9.041491429781807E-01,  2.979253357079901E+01,  7.897699531039578E+01,  9.267346075145875E+01,  2.459066271667400E+06,  6.310031004736263E-01,  1.679909033047093E+02,  1.735585609183685E+02,  1.346216948211350E+00,  1.788284753444519E+00,  5.705201760970534E+02,
